price,temperature_2m (°C),cloud_cover (%),wind_speed_100m (km/h),shortwave_radiation (W/m²),apparent_temperature (°C),direct_radiation (W/m²),diffuse_radiation (W/m²),wind_gusts_10m (km/h),relative_humidity_2m (%),hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,no_laborable
0.3063771413276231,0.15388397246804328,0.9680851063829787,0.22165553118784104,0.0,0.16621044563670206,0.0,0.0,0.10196983011130636,0.8468045112781954,0.5,1.0,0.5,1.0,0.75,0.9330127018922194,1.0
0.3052395610278372,0.14835299901671584,0.9925531914893617,0.21548426582343033,0.0,0.16161173765465892,0.0,0.0,0.0942076742823667,0.8530701754385963,0.6294095225512604,0.9829629131445341,0.5,1.0,0.75,0.9330127018922194,1.0
0.3002542826552463,0.15621927236971486,0.9972340425531916,0.19049319120722186,0.0,0.16965947662323444,0.0,0.0,0.0843585237258348,0.8217418546365913,0.75,0.9330127018922194,0.5,1.0,0.75,0.9330127018922194,1.0
0.30319860813704497,0.15247050147492625,0.9657446808510639,0.1702453205487836,0.0,0.16840030658053218,0.0,0.0,0.07051845342706503,0.8292606516290726,0.8535533905932737,0.8535533905932737,0.5,1.0,0.75,0.9330127018922194,1.0
0.3075816381156317,0.14276057030481812,0.9574468085106383,0.17417248941704494,0.0,0.1576699879557648,0.0,0.0,0.06714997070884593,0.8468045112781954,0.9330127018922193,0.75,0.5,1.0,0.75,0.9330127018922194,1.0
0.3024959850107066,0.13563176007866276,0.8840425531914893,0.1856989850563574,0.0,0.15011496769955107,0.0,0.0,0.07685266549502048,0.8577694235588971,0.9829629131445341,0.6294095225512604,0.5,1.0,0.75,0.9330127018922194,1.0
0.29225776231263384,0.1288102261553589,0.8753191489361702,0.18212883153975618,0.0,0.1426146939669331,0.0,0.0,0.08318687756297594,0.8605889724310778,1.0,0.5,0.5,1.0,0.75,0.9330127018922194,1.0
0.2936630085653105,0.12303343166175026,0.8055319148936171,0.17835466925077775,0.0,0.1368115624657834,0.0,0.0,0.08388254247217339,0.8602756892230574,0.9829629131445341,0.3705904774487397,0.5,1.0,0.75,0.9330127018922194,1.0
0.2800789614561028,0.11529006882989185,0.7663829787234043,0.18789207935941243,0.0,0.12783313259608015,0.0,0.0,0.08673842999414175,0.8668546365914787,0.9330127018922194,0.2500000000000001,0.5,1.0,0.75,0.9330127018922194,1.0
0.1903104925053533,0.10816125860373646,0.7506382978723405,0.18197582496047332,0.0035245257604669435,0.1214277893353772,0.00018373185647917268,0.010059012875536481,0.09223052138254245,0.8753132832080202,0.8535533905932737,0.14644660940672627,0.5,1.0,0.75,0.9330127018922194,1.0
0.09388383297644541,0.14718534906588007,0.5953191489361702,0.1689192635283317,0.06683129419687955,0.1581627066681266,0.025774954723221083,0.1337848712446352,0.11346660808435849,0.8214285714285714,0.75,0.06698729810778065,0.5,1.0,0.75,0.9330127018922194,1.0
0.08986884368308352,0.20261799410029502,0.5576595744680851,0.14739633804253582,0.18843865753732178,0.21241651155151647,0.11834956298065566,0.26052843347639487,0.14488137082601052,0.7268170426065161,0.6294095225512605,0.0170370868554659,0.5,1.0,0.75,0.9330127018922194,1.0
0.08428131691648823,0.24920108161258606,0.4512765957446808,0.12388432702606213,0.3048378044673925,0.2545165881966496,0.22585894642904014,0.33355686695278974,0.1788957234915056,0.6234335839598997,0.5000000000000001,0.0,0.5,1.0,0.75,0.9330127018922194,1.0
0.0824076552462527,0.2839847590953786,0.36276595744680856,0.14576426786351815,0.3927938040184083,0.28199934304171687,0.32475918003097193,0.3436158798283262,0.20840656121851195,0.5388471177944862,0.37059047744873963,0.017037086855465844,0.5,1.0,0.75,0.9330127018922194,1.0
0.1062299250535332,0.30733775811209446,0.34361702127659577,0.20599785790789,0.4294982601863284,0.2942078178035695,0.37903881991653326,0.31457886266094426,0.26537785588752194,0.47149122807017535,0.2500000000000001,0.06698729810778059,0.5,1.0,0.75,0.9330127018922194,1.0
0.16300856531049251,0.318338249754179,0.3621276595744681,0.2277757943591574,0.39189583567179254,0.3003941749698894,0.3495892280637287,0.27749463519313305,0.2772773872290568,0.4338972431077694,0.14644660940672644,0.14644660940672605,0.5,1.0,0.75,0.9330127018922194,1.0
0.23106263383297643,0.3171091445427729,0.4451063829787234,0.23343703779262504,0.2928948254574026,0.29968247016314464,0.253707446389669,0.2267301502145923,0.2649751025190392,0.43358395989974935,0.06698729810778081,0.24999999999999978,0.5,1.0,0.75,0.9330127018922194,1.0
0.25632360813704497,0.2910521140609637,0.524468085106383,0.2616922527668689,0.16109552138287123,0.28314902003722764,0.12296910680070344,0.1670466738197425,0.23564733450497946,0.5206766917293233,0.017037086855465844,0.3705904774487397,0.5,1.0,0.75,0.9330127018922194,1.0
0.28038008565310496,0.23402163225172082,0.5940425531914894,0.3039220686489519,0.03802895947917836,0.23070185043249758,0.022362791674322164,0.05646459227467812,0.1839850615114235,0.6290726817042607,0.0,0.4999999999999999,0.5,1.0,0.75,0.9330127018922194,1.0
0.3029978586723769,0.2100540806293019,0.6163829787234042,0.3112663844545315,0.00017959366932315633,0.20748932442789883,2.624740806845324e-05,0.00046942060085836915,0.16589777387229052,0.6644736842105261,0.01703708685546579,0.6294095225512601,0.5,1.0,0.75,0.9330127018922194,1.0
0.3027971092077088,0.18897492625368734,0.6014893617021276,0.3162645993777732,0.0,0.18597394065476844,0.0,0.0,0.1761862917398945,0.7039473684210527,0.0669872981077807,0.75,0.5,1.0,0.75,0.9330127018922194,1.0
