price,temperature_2m (°C),cloud_cover (%),wind_speed_100m (km/h),shortwave_radiation (W/m²),apparent_temperature (°C),direct_radiation (W/m²),diffuse_radiation (W/m²),wind_gusts_10m (km/h),relative_humidity_2m (%),hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,no_laborable
66.9,10.48936170212766,28.4468085106383,20.97659574468085,0.0,7.663829787234042,0.0,0.0,22.523404255319146,68.7872340425532,0.0,1.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
69.32,9.870212765957445,31.085106382978722,19.851063829787233,0.0,6.972340425531915,0.0,0.0,22.493617021276595,69.42553191489361,0.25881904510252074,0.9659258262890683,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
68.94,9.45531914893617,33.829787234042556,20.01063829787234,0.0,6.5212765957446805,0.0,0.0,22.98510638297872,71.02127659574468,0.49999999999999994,0.8660254037844387,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
67.63,9.029787234042553,28.93617021276596,19.817021276595746,0.0,6.017021276595745,0.0,0.0,22.52553191489362,70.48936170212765,0.7071067811865475,0.7071067811865476,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
62.61,8.527659574468085,28.361702127659573,19.18936170212766,0.0,5.559574468085106,0.0,0.0,21.653191489361703,72.44680851063829,0.8660254037844386,0.5000000000000001,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
53.06,8.036170212765958,30.382978723404257,18.00212765957447,0.0,5.14468085106383,0.0,0.0,20.657446808510638,74.19148936170212,0.9659258262890683,0.25881904510252074,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
75.47,7.75531914893617,28.340425531914892,17.3,0.0,4.9361702127659575,0.0,0.0,19.58936170212766,74.8936170212766,1.0,6.123233995736766e-17,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
74.47,7.7531914893617015,26.06382978723404,17.98085106382979,11.787234042553191,4.804255319148936,3.425531914893617,8.361702127659575,19.397872340425533,74.61702127659575,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
123.21,9.319148936170214,29.51063829787234,18.293617021276596,123.25531914893617,6.240425531914894,67.34042553191489,55.91489361702128,23.225531914893615,67.91489361702128,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
123.7,10.899999999999999,32.638297872340424,17.79787234042553,290.8723404255319,7.6255319148936165,192.40425531914894,98.46808510638297,27.5,60.12765957446808,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
124.14,12.429787234042553,33.53191489361702,18.21063829787234,464.93617021276594,9.038297872340426,332.0425531914894,132.89361702127658,30.638297872340427,54.1063829787234,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
123.6,13.908510638297873,30.148936170212767,18.878723404255318,629.4893617021277,10.893617021276595,468.59574468085106,160.89361702127658,32.57234042553192,47.8936170212766,0.258819045102521,-0.9659258262890682,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
74.15,14.957446808510639,22.170212765957448,20.23617021276596,745.6382978723404,12.363829787234042,577.1276595744681,168.51063829787233,35.07021276595744,43.787234042553195,1.2246467991473532e-16,-1.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
74.65,15.934042553191489,16.617021276595743,20.4468085106383,835.9148936170212,13.648936170212766,671.5531914893617,164.36170212765958,36.217021276595744,40.04255319148936,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
74.75,16.66808510638298,19.595744680851062,20.838297872340426,873.0212765957447,14.412765957446808,712.9574468085107,160.06382978723406,37.291489361702126,37.829787234042556,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.8660254037844387,-0.4999999999999998,0
